iter	Passed	Remaining
0	102	102636
1	103	51576
2	103	34550
3	104	26017
4	105	20898
5	105	17491
6	106	15048
7	106	13218
8	107	11796
9	107	10654
10	108	9720
11	108	8947
12	109	8289
13	109	7725
14	110	7241
15	110	6814
16	111	6441
17	111	6105
18	112	5803
19	112	5531
20	113	5285
21	113	5063
22	114	4859
23	114	4674
24	115	4503
25	115	4344
26	116	4199
27	117	4063
28	117	3935
29	118	3816
30	118	3706
31	119	3600
32	119	3501
33	119	3407
34	120	3318
35	120	3235
36	121	3156
37	121	3081
38	122	3010
39	122	2942
40	123	2879
41	123	2818
42	123	2759
43	124	2704
44	124	2650
45	125	2600
46	125	2551
47	126	2504
48	126	2459
49	127	2416
50	127	2375
51	128	2335
52	128	2296
53	129	2260
54	129	2224
55	129	2190
56	130	2156
57	130	2126
58	131	2096
59	131	2066
60	132	2037
61	132	2009
62	133	1982
63	133	1956
64	134	1930
65	134	1905
66	135	1881
67	135	1854
68	135	1832
69	136	1810
70	136	1788
71	137	1767
72	137	1747
73	138	1727
74	138	1707
75	138	1689
76	139	1670
77	139	1652
78	140	1635
79	140	1618
80	141	1601
81	141	1585
82	142	1569
83	142	1553
84	142	1537
85	143	1522
86	143	1506
87	144	1492
88	144	1479
89	145	1466
90	145	1453
91	145	1440
92	146	1428
93	146	1416
94	147	1404
95	147	1392
96	148	1380
97	148	1369
98	149	1358
99	149	1347
100	150	1336
101	150	1324
102	150	1313
103	151	1303
104	151	1293
105	152	1284
106	152	1274
107	153	1265
108	153	1255
109	154	1246
110	154	1237
111	154	1228
112	155	1220
113	155	1211
114	156	1203
115	156	1194
116	157	1186
117	157	1178
118	157	1169
119	158	1162
120	158	1154
121	159	1147
122	159	1138
123	160	1131
124	160	1124
125	161	1117
126	161	1110
127	161	1102
128	162	1096
129	162	1089
130	163	1083
131	163	1076
132	164	1070
133	164	1064
134	165	1057
135	165	1051
136	166	1045
137	166	1039
138	166	1033
139	167	1027
140	167	1022
141	168	1016
142	168	1010
143	169	1005
144	169	1000
145	170	994
146	170	989
147	170	984
148	171	978
149	171	973
150	172	968
151	172	963
152	173	958
153	173	953
